file_name,text,audiofile
3eGXNIadwGk.png, Person is whistling,./data/audiocaps/dataset_full/train/3eGXNIadwGk.wav
3eHYGSux1Ps.png," A motorboat cruises along, and a man talks",./data/audiocaps/dataset_full/train/3eHYGSux1Ps.wav
3eQYsDrfsTc.png, Someone has a hiccup while typing,./data/audiocaps/dataset_full/train/3eQYsDrfsTc.wav
pgl_pG7j7d8.png, A man talks nearby as water pours out of a faucet,./data/audiocaps/dataset_full/train/pgl_pG7j7d8.wav
1OIVJfQTGVk.png, Engine revving loudly,./data/audiocaps/dataset_full/train/1OIVJfQTGVk.wav
1OIm8vLHCwo.png, An adult female speaks and a cat meows,./data/audiocaps/dataset_full/train/1OIm8vLHCwo.wav
1O2vHreD6eI.png," A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates",./data/audiocaps/dataset_full/train/1O2vHreD6eI.wav
1O5u-mBU2JI.png," A man speaking in a foreign language, can hear doves in the background",./data/audiocaps/dataset_full/train/1O5u-mBU2JI.wav
1OCyUeuv2-Q.png, Men speaking then sneezing,./data/audiocaps/dataset_full/train/1OCyUeuv2-Q.wav
1OI6GPNHhLg.png, A man speaks slowly and with strength,./data/audiocaps/dataset_full/train/1OI6GPNHhLg.wav
1OCv1wCGK-s.png," A child screams, an adult male is talking and vehicles are revving",./data/audiocaps/dataset_full/train/1OCv1wCGK-s.wav
DJVEiFFUB6g.png, A woman talks while frying something,./data/audiocaps/dataset_full/train/DJVEiFFUB6g.wav
oxs8A0Cdwwc.png, Crashing waves and a gust of wind,./data/audiocaps/dataset_full/train/oxs8A0Cdwwc.wav
kxZQJiOLSqE.png, Honking of a horn of a passing train,./data/audiocaps/dataset_full/train/kxZQJiOLSqE.wav
R8pcOO_A2uE.png, Someone whistles nearby,./data/audiocaps/dataset_full/train/R8pcOO_A2uE.wav
vfbOX5T8YDk.png, Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble,./data/audiocaps/dataset_full/train/vfbOX5T8YDk.wav
Bals78LmH5w.png, Children speak and laugh with a man,./data/audiocaps/dataset_full/train/Bals78LmH5w.wav
-62RXhX5GZk.png, A dog grunts and an adult male speaks,./data/audiocaps/dataset_full/train/-62RXhX5GZk.wav
-67q0yYR0zk.png, People in a small crowd are speaking and a dog barks,./data/audiocaps/dataset_full/train/-67q0yYR0zk.wav
-68677bCJWM.png, Distressed cat growling and hissing violently while woman laughs and talks,./data/audiocaps/dataset_full/train/-68677bCJWM.wav
-68L7q5JlL4.png, Wind against a microphone on a speeding car,./data/audiocaps/dataset_full/train/-68L7q5JlL4.wav
5seYj-vSnEc.png," Two men exchange words, then a car engine revs followed by a siren and fade in music",./data/audiocaps/dataset_full/train/5seYj-vSnEc.wav
5sTt2AMCjSA.png, A car is racing away very fast and its tires squeal a little,./data/audiocaps/dataset_full/train/5sTt2AMCjSA.wav
3qPzSfovVmk.png, Truck engine running then a dragging noise,./data/audiocaps/dataset_full/train/3qPzSfovVmk.wav
3qPBmioT8Fo.png," A dog is whining and whimpering, and an adult male is speaking",./data/audiocaps/dataset_full/train/3qPBmioT8Fo.wav
og_JH9cxUeg.png, Small frogs croak and chirp,./data/audiocaps/dataset_full/train/og_JH9cxUeg.wav
3qNSaQnzWUs.png," The wind is blowing, a horse is trotting, and an adult male speaks",./data/audiocaps/dataset_full/train/3qNSaQnzWUs.wav
3qA8qMYz3Xw.png," A crowd is cheering and shouting, thumping occurs, an adult female speaks, and an adult male speaks",./data/audiocaps/dataset_full/train/3qA8qMYz3Xw.wav
3q94RIeQJ9Q.png," An adult female speaks, tapping occurs, and a dog barks",./data/audiocaps/dataset_full/train/3q94RIeQJ9Q.wav
3qKKDuwStA8.png, A person is speaking and crumpling paper,./data/audiocaps/dataset_full/train/3qKKDuwStA8.wav
xpRBnXZnRm0.png, A man speaking followed by crinkling,./data/audiocaps/dataset_full/train/xpRBnXZnRm0.wav
YkWrXaJNpn4.png, A power tool hums and vibrates,./data/audiocaps/dataset_full/train/YkWrXaJNpn4.wav
xpE3LXuhJS8.png, Vibrations and humming of a power drill,./data/audiocaps/dataset_full/train/xpE3LXuhJS8.wav
67qTV1MDXhc.png, A bell chiming,./data/audiocaps/dataset_full/train/67qTV1MDXhc.wav
67yhKQpwvjo.png," People speak followed by spraying, then a phone rings",./data/audiocaps/dataset_full/train/67yhKQpwvjo.wav
67zyxZb-wQM.png, A round of applause followed by a woman speaking,./data/audiocaps/dataset_full/train/67zyxZb-wQM.wav
6813SgG-6Rk.png, A door creaks open slowly,./data/audiocaps/dataset_full/train/6813SgG-6Rk.wav
6850oZZoeb8.png," Traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs",./data/audiocaps/dataset_full/train/6850oZZoeb8.wav
XbTazhNR5Cc.png, A kid talks followed by a woman talking while several people laugh,./data/audiocaps/dataset_full/train/XbTazhNR5Cc.wav
2i8L8v2NTsY.png, A man gives a speech,./data/audiocaps/dataset_full/train/2i8L8v2NTsY.wav
2i82jVZy1pk.png," Some unidentified low sound, followed by a child laughter and a female chuckling",./data/audiocaps/dataset_full/train/2i82jVZy1pk.wav
2hyT23nJm_4.png," A female speaking, then a baby babbling, then a female cheering and clapping, followed by another female laughing and speaking",./data/audiocaps/dataset_full/train/2hyT23nJm_4.wav
2i-sTS4rNgs.png, A big engine is sitting in idle,./data/audiocaps/dataset_full/train/2i-sTS4rNgs.wav
8Cscq1H9Lng.png, A vehicle driving and accelerating,./data/audiocaps/dataset_full/train/8Cscq1H9Lng.wav
8Cpw8deghns.png, Crinkling noise followed by a man talking,./data/audiocaps/dataset_full/train/8Cpw8deghns.wav
8CpkuIJ1aQg.png, An adult male is speaking informatively,./data/audiocaps/dataset_full/train/8CpkuIJ1aQg.wav
8C_A2FOG02E.png, Bell chiming with a vehicle starting up,./data/audiocaps/dataset_full/train/8C_A2FOG02E.wav
8Cl-_ONJOes.png, A man is talking,./data/audiocaps/dataset_full/train/8Cl-_ONJOes.wav
77fe_-5zCmM.png," An adult male speaks, a meow occurs, then a boom, the male speaks again, and mechanical clicking occurs",./data/audiocaps/dataset_full/train/77fe_-5zCmM.wav
LkXhkR4lTS4.png, A person talking the entire clip,./data/audiocaps/dataset_full/train/LkXhkR4lTS4.wav
LkXILk5okJg.png, Some liquid flows while kitchenware hits,./data/audiocaps/dataset_full/train/LkXILk5okJg.wav
XB-lOd-HH1o.png, A man talks while different birds tweet,./data/audiocaps/dataset_full/train/XB-lOd-HH1o.wav
RmAsVtD8qzw.png, A train hiss loudly,./data/audiocaps/dataset_full/train/RmAsVtD8qzw.wav
77ZFT8HuVq0.png," A boat motor is running and then accelerates, and water is splashing",./data/audiocaps/dataset_full/train/77ZFT8HuVq0.wav
Nnv7ImgNAEg.png, Continuous hissing with bells and a horn honking,./data/audiocaps/dataset_full/train/Nnv7ImgNAEg.wav
